document,term,tfidf
Amazon,climate pledge,0.11070958959162842
Amazon,launched billion,0.11070958959162842
Amazon,fund,0.09870991159810683
Amazon,pledge,0.09870991159810683
Amazon,000,0.09833766904821617
Amazon,climate,0.08410469360134576
Amazon,000 deployed,0.07380639306108562
Amazon,launched,0.07363426073215365
Amazon,100 000,0.06580660773207121
Amazon,16,0.06580660773207121
Apple,11,0.14670183211596097
Apple,iphone,0.13505004770015758
Apple,iphone 11,0.13505004770015758
Apple,supplier,0.10197055051359431
Apple,11 pro,0.09003336513343839
Apple,average,0.09003336513343839
Apple,carbon footprint,0.09003336513343839
Apple,iphone 11 pro,0.09003336513343839
Apple,pro,0.09003336513343839
Apple,released,0.09003336513343839
BAC,globally,0.10887012281627906
BAC,green bonds,0.10279254893404315
BAC,bofa,0.09075913628554678
BAC,bofa securities,0.09075913628554678
BAC,securities,0.09075913628554678
BAC,vendors,0.09075913628554678
BAC,bonds,0.09054746652561481
BAC,use,0.08374832963101995
BAC,green,0.0814014938426112
BAC,globally reduced,0.08092186370225958
BASF,palm,0.26072945500572786
BASF,oil,0.24163957308115888
BASF,palm oil,0.13036472750286393
BASF,sites,0.10642722347934623
BASF,sustainable,0.09567727634090627
BASF,000 metric tons oil,0.08000701110882416
BASF,25 sites,0.08000701110882416
BASF,25 sites globally,0.08000701110882416
BASF,36 achieved,0.08000701110882416
BASF,36 achieved rspo,0.08000701110882416
Blackrock,strategies,0.12630914295137757
Blackrock,managed,0.11261864830999169
Blackrock,esg,0.1029050877777418
Blackrock,investment,0.1029050877777418
Blackrock,100 active,0.0842060953009184
Blackrock,100 active portfolios,0.0842060953009184
Blackrock,100 active portfolios advisory,0.0842060953009184
Blackrock,active,0.0842060953009184
Blackrock,active portfolios,0.0842060953009184
Blackrock,active portfolios advisory,0.0842060953009184
Boeing,2025 baseline,0.13163699335901524
Boeing,waste,0.12674321497698196
Boeing,2025,0.11047262461404068
Boeing,reduction,0.10000298107779769
Boeing,hazardous,0.08775799557267684
Boeing,hazardous waste,0.08775799557267684
Boeing,reduction 2025,0.08775799557267684
Boeing,reduction 2025 baseline,0.08775799557267684
Boeing,set,0.08775799557267684
Boeing,water use,0.08755332511617825
Chevron,human rights,0.11798791950370989
Chevron,rights,0.11798791950370989
Chevron,human,0.10519935216828254
Chevron,joined,0.10519935216828254
Chevron,increased,0.07847516425657033
Chevron,racial,0.07847516425657033
Chevron,100 ranking,0.058993959751854945
Chevron,100 ranking human,0.058993959751854945
Chevron,100 ranking human rights,0.058993959751854945
Chevron,15 million earned,0.058993959751854945
Cisco,compared,0.12422149667613033
Cisco,compared baseline,0.11760679969695165
Cisco,facilities,0.11760679969695165
Cisco,13,0.0716420014369288
Cisco,generated,0.06639657433993768
Cisco,plastic,0.06639657433993768
Cisco,baseline,0.06590310392350066
Cisco,absolute,0.062110748338065166
Cisco,impact,0.062110748338065166
Cisco,programs,0.058487134085162436
Exxon,reduce,0.1641052495493299
Exxon,methane,0.12336665464412482
Exxon,flaring,0.10999509273762645
Exxon,emissions,0.09319181524005292
Exxon,emissions 15,0.0925249909830936
Exxon,methane emissions,0.0925249909830936
Exxon,reduce flaring,0.0925249909830936
Exxon,reduce methane,0.0925249909830936
Exxon,research,0.0925249909830936
Exxon,sustainability goals,0.0925249909830936
Facebook,solar wind,0.09664621247044486
Facebook,solar wind projects,0.09664621247044486
Facebook,wind projects,0.09664621247044486
Facebook,generate,0.086170846847497
Facebook,projects,0.08259853669616957
Facebook,zero,0.08259853669616957
Facebook,operations,0.07553300283085272
Facebook,net zero,0.07297344694424397
Facebook,supporting,0.07297344694424397
Facebook,wind,0.07297344694424397
Ford,face,0.09167677790749301
Ford,million face,0.09167677790749301
Ford,pay ratio,0.09167677790749301
Ford,ratio,0.09167677790749301
Ford,salaried,0.09167677790749301
Ford,water,0.09160903246671875
Ford,gender,0.081740043262993
Ford,pay,0.081740043262993
Ford,reduction,0.07835141709763677
Ford,consecutive,0.06922123813902714
General Motors,habitat,0.1255195004820163
General Motors,wildlife,0.1255195004820163
General Motors,wildlife habitat,0.1255195004820163
General Motors,energy,0.103588412523918
General Motors,reduced,0.093243721915856
General Motors,energy use,0.08865685337198764
General Motors,increased,0.08348450806795665
General Motors,inclusion,0.07505194711908098
General Motors,intensity,0.07505194711908098
General Motors,10 million support,0.06275975024100815
Google,resulting,0.2341928301862712
