document,term,tfidf
Amazon,net zero carbon,0.18877495583254966
Amazon,zero carbon,0.1537964944284818
Amazon,climate pledge,0.1258499705550331
Amazon,pledge,0.1258499705550331
Amazon,shipments,0.1258499705550331
Amazon,shipments net,0.1258499705550331
Amazon,shipments net zero,0.1258499705550331
Amazon,shipments net zero carbon,0.1258499705550331
Amazon,carbon,0.11612852710427896
Amazon,zero,0.11612852710427896
Apple,supply,0.14700206301731686
Apple,supply chain,0.14700206301731686
Apple,chain,0.14007767462926032
Apple,manufacturing supply,0.12292569498885397
Apple,manufacturing supply chain,0.12292569498885397
Apple,entire,0.10960192816398226
Apple,eliminate,0.08682479833353013
Apple,materials,0.07737143532794973
Apple,manufacturing,0.07350103150865843
Apple,packaging,0.06690690170203324
BAC,certified,0.13677453355653976
BAC,maintain,0.13677453355653976
BAC,achieved reduce,0.11192108821942826
BAC,cdp,0.11192108821942826
BAC,vendors,0.11192108821942826
BAC,purchase 100,0.09979009736062716
BAC,purchase,0.09118302237102649
BAC,reduce,0.0831419722543236
BAC,paper,0.07905203151222541
BAC,90,0.07444004283436464
BASF,fatty,0.1325799361487066
BASF,sustainability,0.1063236615044495
BASF,sites,0.10010547427688928
BASF,palm,0.09364377578038105
BASF,oil,0.08818048754616965
BASF,sustainable,0.08344797201629382
BASF,goals,0.07088244100296633
BASF,sustainability goals,0.07088244100296633
BASF,water,0.06907779371417466
BASF,2025 sustainability goals increase,0.0662899680743533
Blackrock,2024,0.14934565215630924
Blackrock,employee,0.13646432162874383
Blackrock,global,0.1255328185947824
Blackrock,reduce,0.12443010274868106
Blackrock,consumption,0.10542777541316672
Blackrock,increase,0.10015389025272041
Blackrock,100 renewable energy globally,0.08375043392216047
Blackrock,18,0.08375043392216047
Blackrock,18 reduce,0.08375043392216047
Blackrock,18 reduce air,0.08375043392216047
Boeing,reduce,0.21266743528805584
Boeing,20 reduce,0.2042011128426304
Boeing,consumption,0.14415196393771992
Boeing,10 reduce,0.11451241841348687
Boeing,10 reduce hazardous,0.11451241841348687
Boeing,10 reduce hazardous waste,0.11451241841348687
Boeing,20 reduce energy,0.11451241841348687
Boeing,20 reduce energy consumption,0.11451241841348687
Boeing,20 reduce solid,0.11451241841348687
Boeing,20 reduce solid waste,0.11451241841348687
Chevron,intensity,0.23842651932688227
Chevron,emission intensity,0.16878095978664617
Chevron,emission intensity 5,0.16878095978664617
Chevron,ghg emission,0.16878095978664617
Chevron,ghg emission intensity,0.16878095978664617
Chevron,ghg emission intensity 5,0.16878095978664617
Chevron,intensity 5,0.16878095978664617
Chevron,lower upstream,0.16878095978664617
Chevron,net ghg,0.16878095978664617
Chevron,net ghg emission,0.16878095978664617
Cisco,measured,0.11087197871976401
Cisco,suppliers spend,0.11087197871976401
Cisco,sustainability goals reduce,0.11061340150011133
Cisco,ghg emissions,0.10639718652348448
Cisco,absolute,0.09944061901030041
Cisco,weight,0.0988546995658148
Cisco,ghg,0.09848191100953615
Cisco,goals reduce,0.09051932448768087
Cisco,use,0.08665102613372626
Cisco,spend,0.08371471835157789
Exxon,goals,0.5773502691896258
Exxon,sustainability,0.5773502691896258
Exxon,sustainability goals,0.5773502691896258
Exxon,000,0.0
Exxon,000 employee,0.0
Exxon,000 employee commitments,0.0
Exxon,000 employee commitments improving,0.0
Exxon,000 fully,0.0
Exxon,000 fully electric,0.0
Exxon,000 fully electric delivery,0.0
Facebook,100 renewable energy science,0.1242687440704763
Facebook,2030 sustainability goals reach,0.1242687440704763
Facebook,75 levels,0.1242687440704763
Facebook,based target,0.1242687440704763
Facebook,based target reduce,0.1242687440704763
Facebook,based target reduce operational,0.1242687440704763
Facebook,chain sustainability,0.1242687440704763
Facebook,chain sustainability goals,0.1242687440704763
Facebook,chain sustainability goals source,0.1242687440704763
Facebook,emissions 75 levels,0.1242687440704763
Ford,globally,0.2415398179382538
Ford,use,0.14254049521820858
Ford,globally use,0.1367878788430186
Ford,manufacturing plants,0.1367878788430186
