document,term,tfidf
Amazon,climate pledge,0.1538086321405244
Amazon,pledge,0.13713750125549148
Amazon,fund,0.10024731652237014
Amazon,net zero carbon,0.09228517928431462
Amazon,climate,0.09221698425946488
Amazon,000,0.09214453726164605
Amazon,2 billion,0.08228250075329491
Amazon,100 000,0.0751854873917776
Amazon,zero carbon,0.0751854873917776
Amazon,100,0.07248155517758746
Apple,11,0.11466358445127878
Apple,iphone,0.10555643597808527
Apple,iphone 11,0.10555643597808527
Apple,manufacturing supply,0.10555643597808527
Apple,manufacturing supply chain,0.10555643597808527
Apple,supply,0.10023738388804225
Apple,supply chain,0.10023738388804225
Apple,entire,0.09411530204783554
Apple,chain,0.08789869502490065
Apple,transition,0.07970117797245153
BAC,vendors,0.13284482770308453
BAC,certified,0.10451837384582004
BAC,paper,0.08835667005983228
BAC,use,0.08527009695157234
BAC,maintain,0.08117232254240271
BAC,green bonds,0.07522911197249049
BAC,globally,0.07374954345430224
BAC,billion,0.07105841412631028
BAC,100,0.06847144750845661
BAC,achieved,0.06690111778105783
BASF,palm,0.20719915328242908
BASF,oil,0.19511091050459334
BASF,sites,0.11693549758658348
BASF,palm oil,0.10359957664121454
BASF,fatty,0.09778350735121948
BASF,kernel,0.09778350735121948
BASF,kernel oil,0.09778350735121948
BASF,oil palm,0.09778350735121948
BASF,oil palm kernel,0.09778350735121948
BASF,oil palm kernel oil,0.09778350735121948
Blackrock,strategies,0.10151194850186145
Blackrock,investment,0.09275636076114105
Blackrock,managed,0.09275636076114105
Blackrock,esg,0.08596499929166686
Blackrock,100 active,0.07590150421802995
Blackrock,100 active portfolios,0.07590150421802995
Blackrock,100 active portfolios advisory,0.07590150421802995
Blackrock,active,0.07590150421802995
Blackrock,active portfolios,0.07590150421802995
Blackrock,active portfolios advisory,0.07590150421802995
Boeing,waste,0.14074044738852845
Boeing,2025 baseline,0.12201997648990909
Boeing,hazardous,0.12201997648990909
Boeing,hazardous waste,0.12201997648990909
Boeing,energy consumption,0.0994106689186045
Boeing,consumption,0.09727929963418173
Boeing,reduction 2025,0.08134665099327273
Boeing,reduction 2025 baseline,0.08134665099327273
Boeing,solid,0.08134665099327273
Boeing,solid waste,0.08134665099327273
Chevron,intensity,0.13844726002734545
Chevron,upstream,0.11877947984400254
Chevron,emission intensity,0.09719593477380037
Chevron,ghg emission,0.09719593477380037
Chevron,ghg emission intensity,0.09719593477380037
Chevron,lower upstream,0.09719593477380037
Chevron,net ghg,0.09719593477380037
Chevron,net ghg emission,0.09719593477380037
Chevron,net ghg emission intensity,0.09719593477380037
Chevron,flaring,0.08666098541785831
Cisco,absolute,0.09108784564201361
Cisco,compared baseline,0.08952801514374557
Cisco,compared,0.08904650138569195
Cisco,ghg emissions,0.07161319193761807
Cisco,generated,0.07092258311757887
Cisco,absolute ghg emissions reduction,0.066940996792513
Cisco,electricity generated,0.066940996792513
Cisco,emissions reduction target,0.066940996792513
Cisco,foam,0.066940996792513
Cisco,ghg emissions reduction,0.066940996792513
Exxon,flaring,0.11456076743197542
Exxon,methane,0.11456076743197542
Exxon,emissions 15,0.09636551695032042
Exxon,research,0.09636551695032042
Exxon,reduce,0.08627557310110841
Exxon,2000,0.08592057557398157
Exxon,methane emissions,0.08592057557398157
Exxon,reduce flaring,0.08592057557398157
Exxon,reduce methane,0.08592057557398157
Exxon,emissions,0.07728118524235023
Facebook,solar wind,0.08900536941233163
Facebook,solar wind projects,0.08900536941233163
Facebook,wind projects,0.08900536941233163
Facebook,generate,0.07935818549102858
Facebook,net zero,0.07606830194001457
Facebook,reach net,0.07251339956911984
Facebook,reach net zero,0.07251339956911984
Facebook,science,0.07251339956911984
Facebook,zero,0.07088129361536435
Facebook,net,0.0695613687069075
Ford,globally,0.10154227569687065
Ford,use,0.08153082197572223
Ford,face,0.07621157980392769
Ford,globally use,0.07621157980392769
Ford,manufacturing plants,0.07621157980392769
Ford,manufacturing plants globally,0.07621157980392769
Ford,million face,0.07621157980392769
Ford,pay ratio,0.07621157980392769
Ford,plants globally,0.07621157980392769
Ford,ratio,0.07621157980392769
General Motors,intensity,0.13619307879589618
General Motors,reduce,0.10318123378413743
General Motors,habitat,0.10244293129080127
General Motors,wildlife,0.10244293129080127
General Motors,wildlife habitat,0.10244293129080127
General Motors,energy,0.09171665225256662
General Motors,energy intensity,0.09133926635322455
General Motors,source 100,0.08597233349127988
General Motors,baseline,0.08454384048661286
General Motors,vehicles,0.0834610907046306
Google,maintain,0.10691694098482458
Google,gw,0.0984250692148277
Google,launching,0.0984250692148277
Google,carbon,0.09422441963906221
Google,data,0.08728490742766307
Google,building,0.08018770573861844
Google,area,0.06561671280988514
Google,area headquarters,0.06561671280988514
Google,bay,0.06561671280988514
Google,bay area,0.06561671280988514
Honeywell,iso,0.11877210544328093
Honeywell,annualized,0.10933863793114881
Honeywell,certified iso,0.10933863793114881
Honeywell,manufacturing sites,0.10933863793114881
Honeywell,manufacturing sites certified,0.10933863793114881
Honeywell,manufacturing sites certified iso,0.10933863793114881
Honeywell,sites certified,0.10933863793114881
Honeywell,sites certified iso,0.10933863793114881
Honeywell,sites,0.10896152444531441
Honeywell,10,0.10527383024316787
JPMorgan,executive team,0.10645980007428019
JPMorgan,global workforce identify,0.10645980007428019
JPMorgan,workforce identify,0.10645980007428019
JPMorgan,global workforce,0.09492075160649822
JPMorgan,ongoing,0.09492075160649822
JPMorgan,operating,0.09492075160649822
JPMorgan,operating committee,0.09492075160649822
JPMorgan,committee,0.0867336664271552
JPMorgan,team,0.0867336664271552
JPMorgan,board directors,0.08038326980264275
Jetblue,fuel,0.20780811202910887
Jetblue,ground,0.13645429505944184
Jetblue,airport,0.10202824795381213
Jetblue,begin,0.10202824795381213
Jetblue,flights,0.10202824795381213
Jetblue,ground fuel,0.10202824795381213
Jetblue,pounds co2,0.10202824795381213
Jetblue,tractors,0.10202824795381213
Jetblue,pounds,0.08312324481164356
Jetblue,co2,0.07973928563293611
JohnsonJohnson,health,0.19038506349573317
JohnsonJohnson,care,0.12607322298935975
JohnsonJohnson,million,0.10158546251089468
JohnsonJohnson,received,0.09519253174786659
JohnsonJohnson,quality,0.08217030549015458
JohnsonJohnson,60 million,0.07564393379361584
JohnsonJohnson,health care,0.07564393379361584
JohnsonJohnson,partnerships,0.07564393379361584
JohnsonJohnson,goal,0.07538303473638502
JohnsonJohnson,benefited,0.06744497965572338
Mastercard,million,0.13593742554371036
Mastercard,500 million,0.12033607530885554
Mastercard,financial,0.10995687284756793
Mastercard,500 million people,0.08997649303784944
Mastercard,reduce scope,0.08022405020590369
Mastercard,500,0.07345960145748526
Mastercard,people,0.07345960145748526
Mastercard,small,0.07330458189837862
Mastercard,committed,0.07032034189044303
Mastercard,net zero emissions,0.06355213906643285
McD,beef,0.18635049845023458
McD,guest,0.1331074988930247
McD,guest packaging,0.1331074988930247
McD,packaging,0.11096426946567714
McD,chicken,0.10648599911441976
McD,soy,0.10648599911441976
McD,certified sources,0.09494411096448764
McD,deforestation,0.09494411096448764
McD,food,0.09494411096448764
McD,certified,0.08378002860346337
Microsoft,circular,0.09739715802722594
Microsoft,water,0.08651291661045418
Microsoft,company,0.08457766418750359
Microsoft,million,0.07629929674539482
Microsoft,waste,0.07489330839887297
Microsoft,100,0.06693447795337547
Microsoft,100 recyclable,0.06493143868481731
Microsoft,circular economy,0.06493143868481731
Microsoft,circular economy invested,0.06493143868481731
Microsoft,devices,0.06493143868481731
MorganStanley,plastic waste,0.11031772202437157
MorganStanley,plastic,0.09864140772347453
MorganStanley,billion,0.08824281638286746
MorganStanley,carbon solutions,0.08248566958994734
MorganStanley,facilitate prevention,0.08248566958994734
MorganStanley,facilitate prevention reduction,0.08248566958994734
MorganStanley,facilitate prevention reduction removal,0.08248566958994734
MorganStanley,low carbon solutions,0.08248566958994734
MorganStanley,metric tons plastic,0.08248566958994734
MorganStanley,metric tons plastic waste,0.08248566958994734
Oracle,reduction,0.16447866330060584
Oracle,energy,0.09670882937922387
Oracle,data centers,0.08719528206510357
Oracle,100 renewable energy use,0.08230014813991768
Oracle,20 reduction,0.08230014813991768
Oracle,25 reduction,0.08230014813991768
Oracle,achieved ahead,0.08230014813991768
