,Actual Rating,,,,,,,,,,,,,,,,
Company name,Flaring Intensity,Methane,GHG,Zero Carbon,Renewable energy,Carbon Emission,"Forest, wetland, peatlands",Plastic,Carbon Neutral,recycled product,Supplier proof,Water use,Landfill use,Paper use,Palm,Air travel,Final Rating
Amazon,,,,1,3,0,0,,,,,,,,,,0
Apple,,,,2,5,5,,1,2,4,1,,,,,,4
BAC,,,,3,6,8,,,0,4,1,5,2,2,,,5
BASF,,,,,,6,,,2,,1,0,,,1,,2
Blackrock,,,,,6,,,,,,1,,6,1,,1,4
Boeing,,,2,2,2,,,,0,,,3,1,,,,3
Chevron,1,2,1,,,,,,,,,,,,,,1
Cisco,,,3,,,4.5,,2,,2,1,,,,,,3
Exxon,1,1,0,,,,,,,,,,,,,,1
Facebook,,,8,2,6,9,,,,,,,,,,,3
Ford,,,,,2,4,,,1,,1,8,,,,,2
GM,,,7,,1,,,,,,,2,,,,,2
Google,,,,,,2,,,5,3,,,,,,,3
Honeywell,,,1,,,,,,0,,,0,,,,,1
Jetblue,,,,,,0,,,0,,,,,,,,1
J&J,,,,,3,4,,3,3,2,,,,,,,2
JPMorgan,,,,,6,,,,5,,,,,,,,0
Mastercard,,,4,0,,,,,,,,,,,,,1
McD,,,3,,,,1,,,,1,,,,2,,4
Microsoft,,,,,3.5,3,,,,1,,1,,,,,3
Morgan Stanley,,,,,4,,,,4,,,,,,,,2
Oracle,,,,,,3,,,,,,4,,,,,1
PepsiCo,,,,,,,,,,,1,1,,,2,,2
Samsung,,,,,6,,,,,,,,,0,,,1
Siemens,,,,,,7,,,,,,0,,,,,0
TDBank,,,5,,,,,,,,,,,,,,0
Unilever,,,1,1,,1,,,,,,6,3,,,,4
Visa,,,9,,,,,,5,,,,4,,,,4
Walt Disney,,,6,,,,,,2,,1,,5,,,,4
Wells Fargo,,,5,0,,,,,,,,7,3,,,,4
